Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,search-query,query-date,doi,bibtex,doi_link,No Survey / Literature Review,Contains Experiments and Results for WTPC,Full Text Available,Used Features,Used Models,Used Evaluation Metrics,Dataset Description,Dataset From Date,Dataset To Date,Time period,Granularity,Number of Turbines,Location,Available Features,Power per WT,Onshore/Offshore?,Observed Failures,Dataset Availability,Source Code Availability
"Mclean, Jacques H; Jones, Matthew R; O’Connell, Brandon J; Maguire, Eoghan; Rogers, Tim J; ",Physically meaningful uncertainty quantification in probabilistic wind turbine power curve models as a damage-sensitive feature,Structural Health Monitoring,22.0,6.0,3623-3636,2023,"SAGE Publications Sage UK: London, England",power curve monitoring,2025-06-12,10.1177/14759217231155379,"@article{Mclean_2023, title={Physically meaningful uncertainty quantification in probabilistic wind turbine power curve models as a damage-sensitive feature}, volume={22}, ISSN={1741-3168}, url={http://dx.doi.org/10.1177/14759217231155379}, DOI={10.1177/14759217231155379}, number={6}, journal={Structural Health Monitoring}, publisher={SAGE Publications}, author={Mclean, Jacques H and Jones, Matthew R and O’Connell, Brandon J and Maguire, Eoghan and Rogers, Tim J}, year={2023}, month=feb, pages={3623–3636} }",https://doi.org/10.1177/14759217231155379,True,True,True,Wind Speed Only,Gaussian Process,"NMSE, joint log likelihood",,,,,10 min,1,,1,,,,No,Yes
"Astolfi, Davide; De Caro, Fabrizio; Vaccaro, Alfredo; ",Enhancing wind turbine power curve monitoring with explainable artificial intelligence techniques,IEEE EUROCON 2023-20th International Conference on Smart Technologies,,,758-763,2023,IEEE,power curve monitoring,2025-06-12,10.1109/eurocon56442.2023.10199016,"@inproceedings{Astolfi_2023, title={Enhancing Wind Turbine Power Curve Monitoring with eXplainable Artificial Intelligence Techniques}, url={http://dx.doi.org/10.1109/eurocon56442.2023.10199016}, DOI={10.1109/eurocon56442.2023.10199016}, booktitle={IEEE EUROCON 2023 - 20th International Conference on Smart Technologies}, publisher={IEEE}, author={Astolfi, Davide and De Caro, Fabrizio and Vaccaro, Alfredo}, year={2023}, month=jul, pages={758–763} }",https://doi.org/10.1109/eurocon56442.2023.10199016,True,True,True,"Rotor RPM, Tower Acceleration, Blade Load, Blade Loads Bearing Tilt Moment, Blade Piston Travelled Distance, Blade Loads Bearing Yaw Moment, Blade Pitch Travelled Distance, Tower Vibrations, Tilt Yaw Control, Tilt Moment, Yaw Moment, Blade Pitch Cylinder Pressure, Blade Pitch Manifold Oil Pressure, Blade Pitch Angle",SVR,"MAE, RMSE, SHAP",Vestas V117 wind turbine (rated power 3.4 MW),01.01.2020,31.12.2020,,10 min,1,Italy?,26,"3,4",,,On Request,No
"Wang, Peng; Li, Yanting; Zhang, Guangyao; ",Probabilistic power curve estimation based on meteorological factors and density LSTM,Energy,269.0,,126768,2023,Elsevier,power curve estimation,2025-06-12,10.2139/ssrn.4257455,"@article{Wang_2022, title={Probabilistic Power Curve Estimation Based on Meteorological Factors and Density Lstm}, ISSN={1556-5068}, url={http://dx.doi.org/10.2139/ssrn.4257455}, DOI={10.2139/ssrn.4257455}, journal={SSRN Electronic Journal}, publisher={Elsevier BV}, author={Wang, Peng and LI, Yanting and Zhang, Guangyao}, year={2022} }",https://doi.org/10.2139/ssrn.4257455,True,True,True,"Wind Direction, Ambient Temperature",LSTM,"MSC, CRPS, Reliability Index, sharpness",,1/1/2019,31/12/2019,,10 min,24/26,Central and East China,4,2/4,Beides,2434/3012,No,No
"Wang, Zhiming; Wang, Xuan; Liu, Weimin; ",Genetic least square estimation approach to wind power curve modelling and wind power prediction,Scientific Reports,13.0,1.0,9188,2023,Nature Publishing Group UK London,power curve estimation,2025-06-12,10.1038/s41598-023-36458-w,"@article{Wang_2023, title={Genetic least square estimation approach to wind power curve modelling and wind power prediction}, volume={13}, ISSN={2045-2322}, url={http://dx.doi.org/10.1038/s41598-023-36458-w}, DOI={10.1038/s41598-023-36458-w}, number={1}, journal={Scientific Reports}, publisher={Springer Science and Business Media LLC}, author={Wang, Zhiming and Wang, Xuan and Liu, Weimin}, year={2023}, month=jun }",https://doi.org/10.1038/s41598-023-36458-w,True,True,True,Wind Speed Only,"Piece-wise Polynomial Regression, Logistic Function","RMSE, R^2, MAE, MAPE, AIC, BIC","""1# wind farm Maling Mountain""; ""2# wind farm Mishan Mountain""",01.01.2018,31.12.2018,,10 min,28; ?,"Jiangsu Province, China",2,"1,8; 1,5",Onshore,,No,No
"Paik, Chunhyun; Chung, Yongjoo; Kim, Young Jin; ",Power curve modeling of wind turbines through clustering-based outlier elimination,Applied System Innovation,6.0,2.0,41,2023,MDPI,power curve estimation,2025-06-12,10.3390/asi6020041,"@article{Paik_2023, title={Power Curve Modeling of Wind Turbines through Clustering-Based Outlier Elimination}, volume={6}, ISSN={2571-5577}, url={http://dx.doi.org/10.3390/asi6020041}, DOI={10.3390/asi6020041}, number={2}, journal={Applied System Innovation}, publisher={MDPI AG}, author={Paik, Chunhyun and Chung, Yongjoo and Kim, Young Jin}, year={2023}, month=mar, pages={41} }",https://doi.org/10.3390/asi6020041,True,True,True,Wind Speed Only,Polynomial regression,"R^2, RMSE, MAE",,2018,2020,,,2,Korea,,1.5/3,Onshore,,On Request,No
"Wang, Yun; Duan, Xiaocong; Zou, Runmin; Zhang, Fan; Li, Yifen; Hu, Qinghua; ",A novel data-driven deep learning approach for wind turbine power curve modeling,Energy,270.0,,126908.0,2023,Elsevier,power curve modeling,2025-06-12,10.1016/j.energy.2023.126908,"@article{Wang_2023, title={A novel data-driven deep learning approach for wind turbine power curve modeling}, volume={270}, ISSN={0360-5442}, url={http://dx.doi.org/10.1016/j.energy.2023.126908}, DOI={10.1016/j.energy.2023.126908}, journal={Energy}, publisher={Elsevier BV}, author={Wang, Yun and Duan, Xiaocong and Zou, Runmin and Zhang, Fan and Li, Yifen and Hu, Qinghua}, year={2023}, month=may, pages={126908} }",https://doi.org/10.1016/j.energy.2023.126908,True,True,True,Wind Speed Only,CNN,"R^2, MAE, RMSE, NMAPE","4 Datensätze, 2 von Kaggle, 2 von Nanjing, China",7.7.2017,31.12.2020,,10 min,,"Nanjing, China",,ca. 2,,,Yes,No
"Yang, Guoming; Zhang, Hao; Wang, Wenting; Liu, Bai; Lyu, Chao; Yang, Dazhi; ",Capacity optimization and economic analysis of PV–hydrogen hybrid systems with physical solar power curve modeling,Energy Conversion and Management,288.0,,117128,2023,Elsevier,power curve model,2025-06-12,10.1016/j.enconman.2023.117128,"@article{Yang_2023, title={Capacity optimization and economic analysis of PV–hydrogen hybrid systems with physical solar power curve modeling}, volume={288}, ISSN={0196-8904}, url={http://dx.doi.org/10.1016/j.enconman.2023.117128}, DOI={10.1016/j.enconman.2023.117128}, journal={Energy Conversion and Management}, publisher={Elsevier BV}, author={Yang, Guoming and Zhang, Hao and Wang, Wenting and Liu, Bai and Lyu, Chao and Yang, Dazhi}, year={2023}, month=jul, pages={117128} }",https://doi.org/10.1016/j.enconman.2023.117128,True,False,True,,,None,,,,,,,,,,,,,
"Zheng, Zhong; Yang, Luoxiao; Zhang, Zijun; ",Conditional variational autoencoder informed probabilistic wind power curve modeling,IEEE Transactions on Sustainable Energy,14.0,4.0,2445-2460,2023,IEEE,power curve model,2025-06-12,10.1109/tste.2023.3283515,"@article{Zheng_2023, title={Conditional Variational Autoencoder Informed Probabilistic Wind Power Curve Modeling}, volume={14}, ISSN={1949-3037}, url={http://dx.doi.org/10.1109/tste.2023.3283515}, DOI={10.1109/tste.2023.3283515}, number={4}, journal={IEEE Transactions on Sustainable Energy}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Zheng, Zhong and Yang, Luoxiao and Zhang, Zijun}, year={2023}, month=oct, pages={2445–2460} }",https://doi.org/10.1109/tste.2023.3283515,True,True,True,Wind Direction,CVAE,"CRPS, CWC, PINAW, PINRW, ACE, PICP",,1/8/2019,28/2/2020,,10 min,,,2,,,,No,No
"Mushtaq, Khurram; Zou, Runmin; Waris, Asim; Yang, Kaifeng; Wang, Ji; Iqbal, Javaid; Jameel, Mohammed; ",Multivariate wind power curve modeling using multivariate adaptive regression splines and regression trees,Plos One,18.0,8.0,e0290316,2023,"Public Library of Science San Francisco, CA USA",power curve model,2025-06-12,10.1371/journal.pone.0290316,"@article{Mushtaq_2023, title={Multivariate wind power curve modeling using multivariate adaptive regression splines and regression trees}, volume={18}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0290316}, DOI={10.1371/journal.pone.0290316}, number={8}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Mushtaq, Khurram and Zou, Runmin and Waris, Asim and Yang, Kaifeng and Wang, Ji and Iqbal, Javaid and Jameel, Mohammed}, editor={MAHFOODH, AL}, year={2023}, month=aug, pages={e0290316} }",https://doi.org/10.1371/journal.pone.0290316,True,True,True,Wind Direction,"k-NN, MLP, SVR, Decision Tree, RF, Gradient Boosting Regression, ERT, Splines","MAE, RMSE, R^2",Two Kaggle datasets #1 and #2,01.01.2018,31.03.2020,,10 min,1,Turkey,3,,,,Yes,No
"Jahantigh, Reza; Esmailifar, Sayyed Majid; Sina, Seyyed Ali; ",Wind farm control and power curve optimization using induction-based wake model,Measurement and Control,56.0,9-10,1751-1763,2023,"SAGE Publications Sage UK: London, England",wind farm power curve,2025-06-12,10.1177/00202940231180624,"@article{Jahantigh_2023, title={Wind farm control and power curve optimization using induction-based wake model}, volume={56}, ISSN={0020-2940}, url={http://dx.doi.org/10.1177/00202940231180624}, DOI={10.1177/00202940231180624}, number={9–10}, journal={Measurement and Control}, publisher={SAGE Publications}, author={Jahantigh, Reza and Esmailifar, Sayyed Majid and Sina, Seyyed Ali}, year={2023}, month=jun, pages={1751–1763} }",https://doi.org/10.1177/00202940231180624,True,False,True,"Air Density, Blade Pitch Angle, Generator speed, Rotor RPM, Wind Direction, Axial Induction Factor",,None,,,,,,,,,,,,,
"Nasery, Praanjal; Ezzat, Ahmed Aziz; ",Yaw-adjusted wind power curve modeling: A local regression approach,Renewable Energy,202.0,,1368-1376,2023,Elsevier,power curve,2025-06-12,10.1016/j.renene.2022.12.001,"@article{Nasery_2023, title={Yaw-adjusted wind power curve modeling: A local regression approach}, volume={202}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2022.12.001}, DOI={10.1016/j.renene.2022.12.001}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Nasery, Praanjal and Aziz Ezzat, Ahmed}, year={2023}, month=jan, pages={1368–1376} }",https://doi.org/10.1016/j.renene.2022.12.001,True,True,True,"Wind Direction, Yaw Misalignment, Ambient Temperature, Air Pressure, Air Density, Turbulence Intensity","IEC Standard, k-NN, AMK",Median Absolute Error,Engie Open Data,01.09.2013,31.12.2013,,10 min,2,Northeastern France (La Haute Borne–Vaudeville-le-Haut),8,"2,05",Onshore,,Yes,No
"Bilendo, Francisco; Badihi, Hamed; Lu, Ningyun; Cambron, Philippe; Jiang, Bin; ",A normal behavior model based on power curve and stacked regressions for condition monitoring of wind turbines,IEEE Transactions on Instrumentation and Measurement,71.0,,1-13,2022,IEEE,power curve monitoring,2025-06-12,10.1109/tim.2022.3196116,"@article{Bilendo_2022, title={A Normal Behavior Model Based on Power Curve and Stacked Regressions for Condition Monitoring of Wind Turbines}, volume={71}, ISSN={1557-9662}, url={http://dx.doi.org/10.1109/tim.2022.3196116}, DOI={10.1109/tim.2022.3196116}, journal={IEEE Transactions on Instrumentation and Measurement}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Bilendo, Francisco and Badihi, Hamed and Lu, Ningyun and Cambron, Philippe and Jiang, Bin}, year={2022}, pages={1–13} }",https://doi.org/10.1109/tim.2022.3196116,True,True,True,Air Density,"Decision Tree, SVR, RF, AdaBoost","MAE, RMSE",,,,3 years,10 min,1,,,,,approx. 6 severe anomalies,No,No
"Li, Tenghui; Liu, Xiaolei; Lin, Zi; Morrison, Rory; ","Ensemble offshore wind turbine power curve modelling–an integration of isolation forest, fast radial basis function neural network, and metaheuristic algorithm",Energy,239.0,,122340,2022,Elsevier,power curve modelling,2025-06-12,10.1016/j.energy.2021.122340,"@article{Li_2022, title={Ensemble offshore Wind Turbine Power Curve modelling – An integration of Isolation Forest, fast Radial Basis Function Neural Network, and metaheuristic algorithm}, volume={239}, ISSN={0360-5442}, url={http://dx.doi.org/10.1016/j.energy.2021.122340}, DOI={10.1016/j.energy.2021.122340}, journal={Energy}, publisher={Elsevier BV}, author={Li, Tenghui and Liu, Xiaolei and Lin, Zi and Morrison, Rory}, year={2022}, month=jan, pages={122340} }",https://doi.org/10.1016/j.energy.2021.122340,True,True,True,"Nacelle Orientation, Blade Pitch Angle, Ambient Temperature",RBFNN,"MSE, RMSE, NRMSE, MAE, R^2",,01-01-2013,01-12-2014,,10min,4,"Anholt, Denmark",5,3.6 MW,Offshore,,No,No
"Bull, Lawrence A; Gardner, Paul A; Rogers, Timothy J; Dervilis, Nikolaos; Cross, Elizabeth J; Papatheou, Evangelos; Maguire, Andrew Eoghan; Campos, Carles; Worden, Keith; ",Bayesian modelling of multivalued power curves from an operational wind farm,Mechanical Systems and Signal Processing,169.0,,108530,2022,Elsevier,wind farm power curve,2025-06-12,10.1016/j.ymssp.2021.108530,"@article{Bull_2022, title={Bayesian modelling of multivalued power curves from an operational wind farm}, volume={169}, ISSN={0888-3270}, url={http://dx.doi.org/10.1016/j.ymssp.2021.108530}, DOI={10.1016/j.ymssp.2021.108530}, journal={Mechanical Systems and Signal Processing}, publisher={Elsevier BV}, author={Bull, L.A. and Gardner, P.A. and Rogers, T.J. and Dervilis, N. and Cross, E.J. and Papatheou, E. and Maguire, A.E. and Campos, C. and Worden, K.}, year={2022}, month=apr, pages={108530} }",https://doi.org/10.1016/j.ymssp.2021.108530,True,True,True,Wind Speed Only,Gaussian Process,"NMSE, MSD",,,,125 weeks,10min,,,,,,,No,No
"Qian, Guo-Wei; Ishihara, Takeshi; ",A novel probabilistic power curve model to predict the power production and its uncertainty for a wind farm over complex terrain,Energy,261.0,,125171,2022,Elsevier,power curve estimation,2025-06-12,10.1016/j.energy.2022.125171,"@article{Qian_2022, title={A novel probabilistic power curve model to predict the power production and its uncertainty for a wind farm over complex terrain}, volume={261}, ISSN={0360-5442}, url={http://dx.doi.org/10.1016/j.energy.2022.125171}, DOI={10.1016/j.energy.2022.125171}, journal={Energy}, publisher={Elsevier BV}, author={Qian, Guo-Wei and Ishihara, Takeshi}, year={2022}, month=dec, pages={125171} }",https://doi.org/10.1016/j.energy.2022.125171,True,True,True,"Air Pressure, Air Density, Ambient Temperature, Turbulence Intensity, Yaw Misalignment, Wind Direction","PARK model, Beta Distribution Probabilistic Model, Shihara-Qian wake model, LES with Smagorinsky-Lill model",WMAPE,Tomamae Wind Farm SCADA + LiDAR campaign,01.11.2015,30.11.2017,,10 min,19 Bonus 1 MW + 1 Unison 2 MW (total 20),Hokkaido facing the Japan Sea,,1; 2,Onshore,,No,No
"Al‐Quraan, Ayman; Al‐Masri, Hussein; Al‐Mahmodi, Mohammed; Radaideh, Ashraf; ",Power curve modelling of wind turbines‐A comparison study,IET Renewable Power Generation,16.0,2.0,362-374,2022,Wiley Online Library,power curve estimation,2025-06-12,10.1049/rpg2.12329,"@article{Al_Quraan_2021, title={Power curve modelling of wind turbines‐ A comparison study}, volume={16}, ISSN={1752-1424}, url={http://dx.doi.org/10.1049/rpg2.12329}, DOI={10.1049/rpg2.12329}, number={2}, journal={IET Renewable Power Generation}, publisher={Institution of Engineering and Technology (IET)}, author={Al‐Quraan, Ayman and Al‐Masri, Hussein and Al‐Mahmodi, Mohammed and Radaideh, Ashraf}, year={2021}, month=nov, pages={362–374} }",https://doi.org/10.1049/rpg2.12329,True,True,True,Wind Speed Only,"Piece-wise Polynomial Regression, Piece-wise Exponential Regression, Rayleigh Wind Distribution Model, Ratio Model","RMSE, R^2, Chi-square, RMBE","A database of different commercial HAWT from several
manufacturers has been gathered of around 150 HAWTs",,,,,150,"Manufacturer database – global; case studies – Jordan (Tafila, Hofa, Al Rajef, Daehan)",,,,,On Request,No
"Yu, Guangzheng; Liu, Chengquan; Tang, Bo; Chen, Rusi; Lu, Liu; Cui, Chaoyue; Hu, Yue; Shen, Lingxu; Muyeen, SM; ",Short term wind power prediction for regional wind farms based on spatial-temporal characteristic distribution,Renewable Energy,199.0,,599-612,2022,Elsevier,wind power curve,2025-06-12,10.1016/j.renene.2022.08.142,"@article{Yu_2022, title={Short term wind power prediction for regional wind farms based on spatial-temporal characteristic distribution}, volume={199}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2022.08.142}, DOI={10.1016/j.renene.2022.08.142}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Yu, Guangzheng and Liu, Chengquan and Tang, Bo and Chen, Rusi and Lu, Liu and Cui, Chaoyue and Hu, Yue and Shen, Lingxu and Muyeen, S.M.}, year={2022}, month=nov, pages={599–612} }",https://doi.org/10.1016/j.renene.2022.08.142,True,False,True,,,None,,,,,,,,,,,,,
"Bilendo, Francisco; Meyer, Angela; Badihi, Hamed; Lu, Ningyun; Cambron, Philippe; Jiang, Bin; ",Applications and modeling techniques of wind turbine power curve for wind farms—A review,Energies,16.0,1.0,180,2022,MDPI,power curve,2025-06-12,10.3390/en16010180,"@article{Bilendo_2022, title={Applications and Modeling Techniques of Wind Turbine Power Curve for Wind Farms—A Review}, volume={16}, ISSN={1996-1073}, url={http://dx.doi.org/10.3390/en16010180}, DOI={10.3390/en16010180}, number={1}, journal={Energies}, publisher={MDPI AG}, author={Bilendo, Francisco and Meyer, Angela and Badihi, Hamed and Lu, Ningyun and Cambron, Philippe and Jiang, Bin}, year={2022}, month=dec, pages={180} }",https://doi.org/10.3390/en16010180,False,False,True,,,None,,,,,,,,,,,,,
"Morrison, Rory; Liu, Xiaolei; Lin, Zi; ",Anomaly detection in wind turbine SCADA data for power curve cleaning,Renewable Energy,184.0,,473-486,2022,Elsevier,power curve,2025-06-12,10.1016/j.renene.2021.11.118,"@article{Morrison_2022, title={Anomaly detection in wind turbine SCADA data for power curve cleaning}, volume={184}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2021.11.118}, DOI={10.1016/j.renene.2021.11.118}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Morrison, Rory and Liu, Xiaolei and Lin, Zi}, year={2022}, month=jan, pages={473–486} }",https://doi.org/10.1016/j.renene.2021.11.118,True,False,True,,,None,,,,,,,,,,,,,
"Pandit, Ravi; Infield, David; Santos, Matilde; ",Accounting for environmental conditions in data-driven wind turbine power models,IEEE Transactions on Sustainable Energy,14.0,1.0,168-177,2022,IEEE,wind turbine power,2025-06-13,10.1109/tste.2022.3204453,"@article{Pandit_2023, title={Accounting for Environmental Conditions in Data-Driven Wind Turbine Power Models}, volume={14}, ISSN={1949-3037}, url={http://dx.doi.org/10.1109/tste.2022.3204453}, DOI={10.1109/tste.2022.3204453}, number={1}, journal={IEEE Transactions on Sustainable Energy}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Pandit, Ravi and Infield, David and Santos, Matilde}, year={2023}, month=jan, pages={168–177} }",https://doi.org/10.1109/tste.2022.3204453,True,True,True,"Turbulence Intensity, Wind Shear, Yaw Misalignment, Air Density",Gaussian Process,"R^2, RMSE, MAE",2.3 MW Siemens (SWT-2.3-108) variable pitch controlled wind turbine that is currently in operation and owned by ScottishPower Renewables,01.03.2012,30.05.2012,,10 min,1,"Glasgow, Scotland",,"2,5",Onshore,,No,No
"Astolfi, Davide; Castellani, Francesco; Lombardi, Andrea; Terzi, Ludovico; ",Multivariate SCADA data analysis methods for real-world wind turbine power curve monitoring,Energies,14.0,4.0,1105,2021,MDPI,power curve monitoring,2025-06-12,10.3390/en14041105,"@article{Astolfi_2021, title={Multivariate SCADA Data Analysis Methods for Real-World Wind Turbine Power Curve Monitoring}, volume={14}, ISSN={1996-1073}, url={http://dx.doi.org/10.3390/en14041105}, DOI={10.3390/en14041105}, number={4}, journal={Energies}, publisher={MDPI AG}, author={Astolfi, Davide and Castellani, Francesco and Lombardi, Andrea and Terzi, Ludovico}, year={2021}, month=feb, pages={1105} }",https://doi.org/10.3390/en14041105,True,True,True,"Blade Pitch Angle, Rotor RPM, Generator speed",SVR,"MAE, MAPE, RMSE, Residuals","Senvion MM92, Vestas V90, Vestas V117",2017/2019,2018/2020,2 years,10 min,3,Italy,6,2/3.45,Onshore,no mention,No,No
"Yun, Eunjeong; Hur, Jin; ",Probabilistic estimation model of power curve to enhance power output forecasting of wind generating resources,Energy,223.0,,120000,2021,Elsevier,power curve estimation,2025-06-12,10.1016/j.energy.2021.120000,"@article{Yun_2021, title={Probabilistic estimation model of power curve to enhance power output forecasting of wind generating resources}, volume={223}, ISSN={0360-5442}, url={http://dx.doi.org/10.1016/j.energy.2021.120000}, DOI={10.1016/j.energy.2021.120000}, journal={Energy}, publisher={Elsevier BV}, author={Yun, Eunjeong and Hur, Jin}, year={2021}, month=may, pages={120000} }",https://doi.org/10.1016/j.energy.2021.120000,True,True,True,Wind Speed Only,MCS,"NMAE, NRMSE",,,,summer and winter 2016,,,"Jeju Island, South Korea",,,,,No,No
"Cascianelli, Silvia; Astolfi, Davide; Castellani, Francesco; Cucchiara, Rita; Fravolini, Mario Luca; ",Wind turbine power curve monitoring based on environmental and operational data,IEEE Transactions on Industrial Informatics,18.0,8.0,5209-5218,2021,IEEE,power curve estimation,2025-06-12,10.1109/tii.2021.3128205,"@article{Cascianelli_2022, title={Wind Turbine Power Curve Monitoring Based on Environmental and Operational Data}, volume={18}, ISSN={1941-0050}, url={http://dx.doi.org/10.1109/tii.2021.3128205}, DOI={10.1109/tii.2021.3128205}, number={8}, journal={IEEE Transactions on Industrial Informatics}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Cascianelli, Silvia and Astolfi, Davide and Castellani, Francesco and Cucchiara, Rita and Fravolini, Mario Luca}, year={2022}, month=aug, pages={5209–5218} }",https://doi.org/10.1109/tii.2021.3128205,True,True,True,"Turbulence Intensity, Ambient Temperature, Nacelle Orientation, Rotor RPM, Generator speed, Blade Pitch Angle, yaw angle, Component Temperature(s)",Polynomial regression,MAE,,,,,10min,,,,,,,No,No
"Eminoglu, Ulas; Turksoy, Omer; ",Power curve modeling for wind turbine systems: A comparison study,International Journal of Ambient Energy,42.0,16.0,1912-1921,2021,Taylor & Francis,power curve estimation,2025-06-12,10.1080/01430750.2019.1630302,"@article{Eminoglu_2019, title={Power curve modeling for wind turbine systems: a comparison study}, volume={42}, ISSN={2162-8246}, url={http://dx.doi.org/10.1080/01430750.2019.1630302}, DOI={10.1080/01430750.2019.1630302}, number={16}, journal={International Journal of Ambient Energy}, publisher={Informa UK Limited}, author={Eminoglu, Ulas and Turksoy, Omer}, year={2019}, month=jun, pages={1912–1921} }",https://doi.org/10.1080/01430750.2019.1630302,False,False,False,,,None,,,,,,,,,,,,,
"Yang, Mao; Shi, Chaoyu; Liu, Huiyu; ",Day-ahead wind power forecasting based on the clustering of equivalent power curves,Energy,218.0,,119515,2021,Elsevier,wind power curve,2025-06-12,10.1016/j.energy.2020.119515,"@article{Yang_2021, title={Day-ahead wind power forecasting based on the clustering of equivalent power curves}, volume={218}, ISSN={0360-5442}, url={http://dx.doi.org/10.1016/j.energy.2020.119515}, DOI={10.1016/j.energy.2020.119515}, journal={Energy}, publisher={Elsevier BV}, author={Yang, Mao and Shi, Chaoyu and Liu, Huiyu}, year={2021}, month=mar, pages={119515} }",https://doi.org/10.1016/j.energy.2020.119515,True,True,True,Wind Speed Only,Polynomial regression,"RMSE, MAE",,01-08-2013,30-09-2013,,15min,35,northeast China,,1.5MW,,,No,No
"Jing, Bo; Qian, Zheng; Zareipour, Hamidreza; Pei, Yan; Wang, Anqi; ",Wind turbine power curve modelling with logistic functions based on quantile regression,Applied Sciences,11.0,7.0,3048.0,2021,MDPI,power curve modeling,2025-06-12,10.3390/app11073048,"@article{Jing_2021, title={Wind Turbine Power Curve Modelling with Logistic Functions Based on Quantile Regression}, volume={11}, ISSN={2076-3417}, url={http://dx.doi.org/10.3390/app11073048}, DOI={10.3390/app11073048}, number={7}, journal={Applied Sciences}, publisher={MDPI AG}, author={Jing, Bo and Qian, Zheng and Zareipour, Hamidreza and Pei, Yan and Wang, Anqi}, year={2021}, month=mar, pages={3048} }",https://doi.org/10.3390/app11073048,True,True,True,"Rotor RPM, Blade Pitch Angle",Quantile Regression,"MAPE, NRMSE, PICP, PINAW",,"(1) 01-01-2017
(2) 01-03-2018
(3) 01-07-2018","(1) 31-03-2017
(2) 31-05-2018
(3) 30-09-2018",,10min,,"(1) Hunan, China
(2) Yunnan province, China
(3) Jiangsu province, China",,"(1) 2MW
(2) 2MW
(3) 5MW",Beides,,,No
"Zou, Runmin; Yang, Jiaxin; Wang, Yun; Liu, Fang; Essaaidi, Mohamed; Srinivasan, Dipti; ",Wind turbine power curve modeling using an asymmetric error characteristic-based loss function and a hybrid intelligent optimizer,Applied Energy,304.0,,117707,2021,Elsevier,power curve model,2025-06-12,10.1016/j.apenergy.2021.117707,"@article{Zou_2021, title={Wind turbine power curve modeling using an asymmetric error characteristic-based loss function and a hybrid intelligent optimizer}, volume={304}, ISSN={0306-2619}, url={http://dx.doi.org/10.1016/j.apenergy.2021.117707}, DOI={10.1016/j.apenergy.2021.117707}, journal={Applied Energy}, publisher={Elsevier BV}, author={Zou, Runmin and Yang, Jiaxin and Wang, Yun and Liu, Fang and Essaaidi, Mohamed and Srinivasan, Dipti}, year={2021}, month=dec, pages={117707} }",https://doi.org/10.1016/j.apenergy.2021.117707,True,True,True,Wind Speed Only,"Logistic Function, Modified hyperbolic tangent function","MAE, RMSE, R^2",,,,,,,"(1) Xichang, China
(2) Hunan, China
(3) China inner Mongolia
(4) China inner Mongolia",,,,,No,No
"Wei, Danxiang; Wang, Jianzhou; Li, Zhiwu; Wang, Rui; ",Wind power curve modeling with hybrid copula and grey wolf optimization,IEEE Transactions on Sustainable Energy,13.0,1.0,265-276,2021,IEEE,power curve model,2025-06-12,10.1109/tste.2021.3109044,"@article{Wei_2022, title={Wind Power Curve Modeling With Hybrid Copula and Grey Wolf Optimization}, volume={13}, ISSN={1949-3037}, url={http://dx.doi.org/10.1109/tste.2021.3109044}, DOI={10.1109/tste.2021.3109044}, number={1}, journal={IEEE Transactions on Sustainable Energy}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Wei, Danxiang and Wang, Jianzhou and Li, Zhiwu and Wang, Rui}, year={2022}, month=jan, pages={265–276} }",https://doi.org/10.1109/tste.2021.3109044,True,True,True,Wind Speed Only,HCCM,"R^2, RMSE, MAE","WF1, WF2, WF3, WF4, WT1, WT2",01/05/2018,03/09/2018,,10 min,4+6+6+4+1+1,"Lishui, Zhejiang province, China/Turkey",1,,Onshore,,No,No
"Astolfi, Davide; ",Perspectives on scada data analysis methods for multivariate wind turbine power curve modeling,Machines,9.0,5.0,100,2021,MDPI,power curve model,2025-06-12,10.3390/machines9050100,"@article{Astolfi_2021, title={Perspectives on SCADA Data Analysis Methods for Multivariate Wind Turbine Power Curve Modeling}, volume={9}, ISSN={2075-1702}, url={http://dx.doi.org/10.3390/machines9050100}, DOI={10.3390/machines9050100}, number={5}, journal={Machines}, publisher={MDPI AG}, author={Astolfi, Davide}, year={2021}, month=may, pages={100} }",https://doi.org/10.3390/machines9050100,True,True,True,"Blade Pitch Angle, Generator speed, Rotor RPM",SVR,"Residuals, MAE, RMSE, NMAE, NRMSE",Two-year SCADA dataset from an ENGIE Italia industrial wind farm,,,two years,10 min,1,Italy,150,2,,,No,No
